Transect,Species,Elev,Tree,Core,TreeID,Tag,Path identification,Site identification,YearLastRing,Sapwood,Tree height,Tree age,SectionHeight,User variable,RingCount,DataType,OffsetToNext,ImageName,Analysis Date Time,Acquisition Date Time,Modified Date Time,ImageSizeH V NBits Channel,CalibMethod XCal YCal EditedDendro,ScannerCamera Make Model Software,LensFocLength [35mm],PathBegX BegY EndX EndY Width,RingBoundary AutoMan Meth Precise,EarlywoodDef,DensActive Media Calib,DensNSteps MatDens Interpol SampleThick,DensStepsThick,DensStepsLightInt,DensStepsWoodDens,DiskArea,DiskPerim,DiskAvgDiam,DiskFormCoef,CompWoodArea,VoidArea,PathLength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,6C,A,6C-A,WA-ABLA-L-6C-A,,,2013,0,0,0,0,0,59,RINGWIDTH,1,NotAFile,5/8/14 11:33,                   ,,1969 24614 8 RGB,Intr 0.010551 0.010581 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],880.0000 15360.0000 1040.0000 352.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,158.8042,1.192,1.563,1.087,0.679,0.917,1.428,1.579,1.636,1.822,1.87,1.47,1.711,2.089,1.792,1.904,3.112,2.553,2.24,1.74,1.761,2.215,1.779,0.848,2.945,2.477,1.786,2.555,2.755,2.309,2.213,2.324,1.925,2.381,2.464,2.704,2.652,2.879,3.261,2.873,3.949,3.375,4.57,2.065,2.643,4.463,1.576,1.951,1.585,1.162,0.922,1.195,0.658,1.045,1.428,0.732,0.705,0.553,0.997,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,6N,B,6N-B,WA-ABLA-L-6N-B,,,2013,0,0,0,0,0,79,RINGWIDTH,1,NotAFile,5/8/14 11:45,                   ,,984 10495 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],504.0000 3784.0000 552.0000 448.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,70.6017,0.124,0.094,0.206,0.206,0.18,0.209,0.26,0.505,0.652,0.693,0.734,0.589,0.612,0.612,0.899,0.539,0.29,0.373,0.31,0.309,0.66,0.437,0.306,0.446,0.433,0.623,0.629,0.42,0.336,0.316,0.316,0.562,0.805,0.736,0.651,0.713,0.962,0.833,0.701,0.62,0.6,0.825,1.087,1.095,0.809,0.993,0.887,0.97,0.718,0.744,0.979,0.752,0.931,0.546,0.561,1.051,0.986,0.764,1.219,0.999,0.619,0.639,0.739,0.916,1.031,0.944,1.136,0.877,1.044,1.157,1.107,2.112,1.256,1.161,1.409,1.714,1.113,0.996,1.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,6N,A,6N-A,WA-ABLA-L-6N-A,,,2013,0,0,0,0,0,78,RINGWIDTH,1,NotAFile,5/8/14 11:45,                   ,,984 10495 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],496.0000 3744.0000 336.0000 10200.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,136.6598,0.65,0.52,0.741,0.554,0.847,1.099,0.622,1.453,2.362,2.998,3.403,2.9,1.994,2.136,1.654,1.707,1.22,1.33,1.166,1.022,1.974,1.831,1.396,1.512,1.443,1.451,1.746,1.835,1.236,1.285,1.392,1.351,1.517,2.269,2.49,1.834,1.938,1.811,2.179,1.545,1.037,1.29,1.053,1.008,1.364,1.238,1.361,1.277,1.047,1.054,1.219,0.941,1.439,1.03,0.93,1.454,1.502,1.337,1.454,1.502,1.493,1.644,1.262,1.881,2.041,1.861,1.678,1.483,1.799,1.902,1.897,3.052,2.721,4.796,2.155,1.421,1.185,1.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,7C,B,7C-B,WA-ABLA-L-7C-B,,,2013,0,0,0,0,0,73,RINGWIDTH,1,NotAFile,5/8/14 11:59,                   ,,2008 8979 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],280.0000 8910.0000 160.0000 300.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,178.7357,1.553,2.026,1.663,1.635,1.427,1.623,1.134,1.279,1.22,1.481,1.004,1.32,1.533,1.207,1.374,1.721,1.506,1.125,1.104,1.507,1.609,1.311,1.311,2.393,2.347,2.065,2.307,2.028,2.149,2.429,1.375,1.355,2.237,1.807,1.087,0.868,1.529,2.86,2.252,2.113,1.82,2.423,1.618,1.731,3.25,2.528,2.847,1.866,1.367,1.935,2.115,1.216,3.707,3.902,3.372,5.206,4.309,4.19,4.549,4.608,3.803,3.317,3.672,2.867,4.111,3.903,3.301,2.866,4.322,4.081,4.226,4.118,1.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,7C,A,7C-A,WA-ABLA-L-7C-A,,,2013,0,0,0,0,0,58,RINGWIDTH,1,NotAFile,5/8/14 11:59,                   ,,2008 8979 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1620.0000 8450.0000 1610.0000 1960.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,137.3377,1.373,1.9,1.712,1.776,1.651,2.497,1.649,2.301,2.185,2.462,1.215,2.311,2.67,1.989,1.788,2.568,1.446,2.029,1.48,1.46,1.396,1.692,1.672,2.645,2.243,2.158,3.152,3.123,2.321,2.775,2.174,2.027,3.245,2.386,2.211,2.315,2.982,2.349,2.295,2.717,3.234,3.292,1.73,1.562,1.752,0.825,4.08,4.238,4.08,3.45,4.233,3.738,2.857,1.989,0.972,2.241,1.523,1.841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,7N,A,7N-A,WA-ABLA-L-7N-A,,,2013,0,0,0,0,0,66,RINGWIDTH,1,NotAFile,5/8/14 12:26,                   ,,4017 23157 8 RGB,Intr 0.010551 0.010581 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],352.0000 16960.0000 480.0000 224.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,174.8459,0.264,0.285,0.245,0.21,0.306,0.507,0.519,0.762,0.836,0.677,0.561,0.635,0.836,1.1,0.984,1.422,1.534,1.566,1.894,2.052,1.857,1.429,2.327,2.686,2.579,2.84,3.174,3.482,4.488,5.609,5.048,3.134,4.591,5.13,4.653,3.981,4.539,4.456,3.653,2.47,0.964,0.645,0.445,0.346,0.383,0.369,0.919,2.023,1.67,2.013,2.129,2.884,7.459,3.66,5.945,6.031,2.424,2.154,4.251,3.372,2.946,5.053,5.268,5.276,4.543,1.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,7N,B,7N-B,WA-ABLA-L-7N-B,,,2013,0,0,0,0,0,69,RINGWIDTH,1,NotAFile,5/8/14 12:26,                   ,,4017 23157 8 RGB,Intr 0.010551 0.010581 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],3232.0000 22688.0000 3360.0000 3136.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,206.8783,0.751,1.364,1.119,0.812,1.128,1.295,0.746,0.992,0.886,0.725,0.503,1.003,1.47,1.577,1.375,1.746,1.955,2.041,2.284,1.883,2,1.66,2.292,3.014,2.274,2.4,3.107,2.502,3.191,2.688,1.926,2.28,2.593,3.399,2.717,2.846,4.549,4.384,3.522,2.462,2.419,2.09,1.478,1.37,1.776,1.517,2.179,2.1,1.852,2.27,2.129,1.015,3.744,4.85,4.135,5.886,4.898,2.854,3.925,5.29,5.092,5.278,5.631,6.015,6.246,7.457,7.73,7.209,6.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,8C,A,8C-A,WA-ABLA-L-8C-A,,,2013,0,0,0,0,0,40,RINGWIDTH,1,NotAFile,5/8/14 12:40,                   ,,2008 5946 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],288.0000 4266.0000 252.0000 534.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,78.978,0.627,0.799,0.478,0.381,0.733,1.091,0.737,1.064,0.881,0.755,0.861,1.136,1.494,1.765,1.972,3.441,3.546,3.395,3.691,2.864,2.022,1.891,1.505,2.819,2.083,1.691,2.028,1.753,2.406,2.687,2.652,2.354,2.826,2.509,1.951,1.877,1.392,1.286,0.846,2.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,8C,B,8C-B,WA-ABLA-L-8C-B,,,2013,0,0,0,0,0,51,RINGWIDTH,1,NotAFile,5/8/14 12:40,                   ,,2008 5946 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1692.0000 5742.0000 1680.0000 1944.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,80.3714,0.323,0.709,0.331,0.343,0.312,0.65,0.59,0.569,0.488,0.808,0.892,0.932,0.902,1.373,1.378,1.362,1.363,1.283,1.411,1.125,1.07,1.655,1.241,1.286,1.579,1.472,1.717,2.068,1.906,1.45,1.85,2.083,1.963,2.155,2.558,2.262,1.841,1.903,1.776,1.905,1.545,1.693,1.819,2.052,2.305,2.516,2.242,2.603,2.552,1.722,2.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,8N,B,8N-B,WA-ABLA-L-8N-B,,,2013,0,0,0,0,0,38,RINGWIDTH,1,NotAFile,5/8/14 12:50,                   ,,2008 5434 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],288.0000 5184.0000 264.0000 1362.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,80.8805,0.265,0.293,0.338,0.42,0.568,0.57,0.634,0.802,1.034,0.948,0.655,1.585,1.766,1.728,1.457,2.254,2.432,1.981,2.323,2.031,2.412,2.158,1.545,2.555,2.491,2.111,2.835,2.306,2.495,3.256,3.827,3.188,3.846,3.362,3.555,3.531,3.513,3.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,8N,A,8N-A,WA-ABLA-L-8N-A,,,2013,0,0,0,0,0,41,RINGWIDTH,1,NotAFile,5/8/14 12:50,                   ,,2008 5434 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1728.0000 5128.0000 1752.0000 232.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,103.6075,0.273,0.619,0.463,0.456,0.65,0.897,0.8,1.11,1.161,1.041,1.203,1.679,2.284,2.261,2.107,3.748,2.817,3.009,3.12,2.334,1.667,1.98,1.438,2.918,2.48,2.239,3.32,2.573,2.656,3.195,3.258,3.137,3.051,3.303,4.015,3.737,4.137,4.198,3.691,4.01,3.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,9C,A,9C-A,WA-ABLA-L-9C-A,,,2013,0,0,0,0,0,91,RINGWIDTH,1,NotAFile,5/8/14 13:07,                   ,,2008 8683 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],312.0000 6016.0000 208.0000 640.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,113.7849,0.105,0.265,0.127,0.106,0.262,0.147,0.113,0.339,0.388,0.438,0.338,0.155,0.254,0.283,0.29,0.303,0.415,0.275,0.185,0.095,0.068,0.161,0.274,0.254,0.255,0.357,0.211,0.232,0.129,0.167,0.347,0.455,0.416,0.438,0.519,0.778,0.597,0.487,0.736,0.744,0.862,0.995,0.99,1.201,0.878,1.153,1.437,1.344,1.293,1.522,1.575,2.231,1.842,1.237,1.866,1.881,2.131,2.162,1.721,1.976,1.747,2.342,2.229,2.652,2.032,2.368,2.187,3.012,3.335,2.144,3.042,2.51,2.502,2.952,2.178,1.945,2.137,2.454,2.618,2.338,2.501,2.226,2.055,1.917,1.592,1.553,1.934,1.416,1.317,0.65,1.542,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,9C,B,9C-B,WA-ABLA-L-9C-B,,,2013,0,0,0,0,0,91,RINGWIDTH,1,NotAFile,5/8/14 13:07,                   ,,2008 8683 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1752.0000 7416.0000 1720.0000 1024.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,135.2654,0.105,0.302,0.092,0.12,0.197,0.169,0.107,0.571,0.423,0.233,0.118,0.199,0.55,0.549,0.614,0.423,0.233,0.301,0.183,0.443,0.225,0.283,0.593,0.55,0.717,0.568,0.396,0.438,0.498,0.392,0.616,0.633,0.816,0.71,0.714,1,0.714,0.883,1,1.004,1.339,1.388,1.498,1.582,1.375,1.735,2.241,1.86,1.943,2.155,1.755,2.684,2.433,1.377,2.243,2.455,2.37,2.56,1.989,2.603,2.073,2.468,2.476,2.8,2.009,2.367,2.278,2.905,2.992,2.267,3.288,2.61,2.762,3.362,2.834,2.168,2.483,2.303,2.386,2.365,2.531,2.241,1.825,1.796,2.109,1.904,2.647,1.652,1.521,0.512,1.706,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,9N,B,9N-B,WA-ABLA-L-9N-B,,,2013,0,0,0,0,0,85,RINGWIDTH,1,NotAFile,5/8/14 14:41,                   ,,2008 9589 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],208.0000 7040.0000 192.0000 288.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,142.8822,0.179,0.159,0.148,0.159,0.232,0.233,0.571,0.233,0.274,0.253,0.359,0.422,0.38,0.464,0.464,0.484,0.674,0.485,0.464,0.591,0.296,0.423,0.635,0.508,0.55,0.613,0.656,0.888,0.909,0.571,0.613,0.571,0.93,0.655,0.992,0.611,1.411,1.302,1.902,1.585,1.395,1.416,0.987,1.596,1.895,2.642,2.306,1.735,2.749,1.756,1.206,1.608,1.608,1.756,2.518,2.285,2.071,2.726,2.726,2.473,2.747,1.979,2.485,1.911,3.15,2.94,2.919,1.958,2.342,2.251,2.775,2.599,2.01,2.984,2.346,2.626,3.037,2.592,2.324,2.597,3.489,3.812,3.25,3.278,5.914,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,9N,A,9N-A,WA-ABLA-L-9N-A,,,2013,0,0,0,0,0,83,RINGWIDTH,1,NotAFile,5/8/14 14:41,                   ,,2008 9589 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1640.0000 7696.0000 1712.0000 912.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,143.567,0.275,0.105,0.149,0.169,0.19,0.148,0.288,0.177,0.19,0.212,0.296,0.296,0.275,0.402,0.36,0.444,0.528,0.457,0.43,0.529,0.444,0.508,0.888,0.571,0.719,0.783,0.762,1.143,0.994,0.571,0.444,0.698,0.465,0.635,0.486,0.613,0.527,0.675,0.97,0.97,1.14,0.887,0.803,1.225,0.739,1.184,1.29,1.644,2.567,2.201,1.713,2.009,2.158,1.354,2.56,2.772,2.049,2.896,3.088,2.889,3.072,2.44,3.072,2.857,3.042,2.857,3.461,2.65,2.839,2.665,3.247,3.37,2.769,3.547,2.799,3.543,3.722,3.411,2.819,2.899,3.713,3.796,4.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,10C,B,10C-B,WA-ABLA-L-10C-B,,,2013,0,0,0,0,0,90,RINGWIDTH,1,NotAFile,5/8/14 15:00,                   ,,4292 13212 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],2050.0000 6330.0000 260.0000 40.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,138.3607,0.274,0.248,0.228,0.215,0.12,0.369,0.393,0.35,0.369,0.393,0.622,0.603,0.366,0.512,0.554,0.511,0.451,0.452,0.557,0.554,0.612,0.714,0.633,0.574,0.548,0.554,0.559,0.515,0.824,0.824,0.844,1.116,0.748,0.563,0.648,0.647,0.459,1.356,1.17,0.978,1.185,0.777,0.8,0.843,0.907,0.886,0.92,1.35,0.949,1.097,1.39,1.578,1.496,1.965,2.365,1.93,3.289,2.602,2.791,3.272,2.883,2.615,2.588,2.874,3.058,2.912,2.766,3.036,2.859,2.836,2.632,2.252,2.78,2.026,2.359,2.393,2.758,2.753,2.529,1.795,2.423,2.132,1.285,2.292,1.981,2.069,1.708,1.985,3.528,5.781,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,10C,A,10C-A,WA-ABLA-L-10C-A,,,2013,0,0,0,0,0,106,RINGWIDTH,1,NotAFile,5/8/14 15:00,                   ,,4292 13212 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1984.0000 6168.0000 4064.0000 13168.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,154.4955,0.274,0.168,0.164,0.18,0.241,0.243,0.209,0.104,0.235,0.245,0.175,0.294,0.236,0.271,0.277,0.274,0.34,0.341,0.332,0.274,0.274,0.422,0.4,0.265,0.394,0.386,0.57,0.601,0.36,0.48,0.716,0.602,0.56,0.373,0.715,0.672,0.671,0.636,0.766,0.86,0.84,0.732,0.708,0.605,0.996,0.975,0.684,0.596,0.757,0.543,0.771,0.708,0.584,1.27,0.872,1.123,1.646,1.238,1.252,1.419,1.417,1.503,1.192,1.487,1.023,1.044,1.127,1.487,1.466,1.972,2.521,1.691,2.8,2.4,2.758,2.653,2.738,2.473,2.697,2.688,2.874,2.852,3.279,3.268,3.401,3.217,2.864,2.583,3.321,2.429,2.499,2.583,2.126,2.874,2.915,2.216,3.013,2.985,2.496,2.484,2.916,2.948,2.071,2.532,3.803,6.77,,,,,
WA,ABLA,L,10N,A,10N-A,WA-ABLA-L-10N-A,,,2013,0,0,0,0,0,94,RINGWIDTH,1,NotAFile,5/8/14 15:18,                   ,,1299 25441 8 RGB,Intr 0.010551 0.010581 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],560.0000 12128.0000 480.0000 400.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,124.0934,0.29,0.311,0.359,0.338,0.333,0.279,0.254,0.377,0.298,0.324,0.385,0.566,0.534,0.56,0.355,0.475,0.39,0.427,0.491,0.458,0.399,0.498,0.442,0.509,0.544,0.361,0.573,0.504,0.689,0.713,0.406,0.497,0.682,0.471,0.486,0.473,0.677,0.733,0.576,0.581,0.645,0.621,0.772,0.609,0.659,0.514,0.757,0.679,0.748,0.754,0.618,0.673,0.722,0.855,0.74,1.281,1.367,1.089,1.429,1.241,0.985,1.107,1.128,0.973,0.71,0.979,0.774,0.95,0.768,0.919,1.121,1.801,2.058,1.066,2.232,1.374,1.941,2.229,1.895,1.712,1.781,2.408,2.433,2.326,2.471,2.886,2.828,2.436,2.72,2.027,2.21,2.324,3.666,1.957,,,,,,,,,,,,,,,,,
