Transect,Species,Elev,Tree,Core,TreeID,Tag,Path identification,Site identification,YearLastRing,Sapwood,Tree height,Tree age,SectionHeight,User variable,RingCount,DataType,OffsetToNext,ImageName,Analysis Date Time,Acquisition Date Time,Modified Date Time,ImageSizeH V NBits Channel,CalibMethod XCal YCal EditedDendro,ScannerCamera Make Model Software,LensFocLength [35mm],PathBegX BegY EndX EndY Width,RingBoundary AutoMan Meth Precise,EarlywoodDef,DensActive Media Calib,DensNSteps MatDens Interpol SampleThick,DensStepsThick,DensStepsLightInt,DensStepsWoodDens,DiskArea,DiskPerim,DiskAvgDiam,DiskFormCoef,CompWoodArea,VoidArea,PathLength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,5H,B,5H-B,CO-PIPO-L-5H-B,,,2013,0,0,0,0,0,105,RINGWIDTH,1,CO-PIPO-L-5H-Both.tif,11/7/2013 17:25,                   ,,2776 12484 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],2268.0000 9932.5000 2338.0000 1914.5000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,169.679,,0.044,0.1,0.148,0.189,0.284,0.312,0.25,0.247,0.46,0.207,0.315,0.035,0.305,0.276,0.609,0.681,1.188,0.239,1.207,0.677,0.848,0.703,0.519,0.525,0.218,0.861,0.987,0.564,0.35,0.331,1.075,0.936,0.585,0.689,0.71,0.676,0.226,0.632,0.126,0.759,0.358,0.379,0.336,0.759,1.098,1.119,0.825,1.227,0.719,0.656,0.698,0.762,0.529,0.768,0.121,1.56,0.821,1.115,0.525,0.356,0.379,1.219,0.294,0.567,1.324,0.946,1.262,0.841,1.661,1.283,1.535,1.598,1.747,1.707,1.307,2.013,1.929,1.632,1.671,0.565,0.859,2.022,1.53,2.277,2.663,1.719,2.423,3.064,1.642,2.774,2.919,3.23,3.299,3.636,5.294,3.95,3.758,4.998,5.027,4.942,4.522,5.184,6.635,4.626,3.185,,,,,,,,,,,
CO,PIPO,L,5L,A,5L-A,CO-PIPO-L-5L-A,,,2013,0,0,0,0,0,91,RINGWIDTH,1,CO-PIPO-L-5L_both.tif,11/7/2013 17:27,                   ,,2047 12878 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],226.0000 10884.0000 262.0000 122.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,227.7403,,0.688,1.307,1.554,1.822,1.587,1.92,1.88,2.102,2.202,1.474,1.579,0.866,2.244,2.941,3.548,2.721,1.985,2.678,2.891,2.173,1.444,1.822,1.551,2.418,2.616,2.436,3.486,1.836,2.637,2.243,2.539,2.241,1.854,2.732,1.962,0.845,1.668,2.744,1.989,1.799,1.545,1.629,1.287,3.139,1.069,0.966,3.17,2.788,1.815,1.141,1.692,1.156,1.255,1.078,1.775,2.492,1.899,2.092,1.814,2.67,2.409,1.077,1.654,2.524,1.573,2.428,1.8,2.068,1.834,2.927,2.168,2.504,2.019,2.589,2.937,2.906,2.377,2.69,2.128,2.26,3.811,2.003,3.499,3.505,3.327,3.85,3.172,3.276,3.878,4.716,8.609,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,5L,B,5L-B,CO-PIPO-L-5L-B,,,2013,0,0,0,0,0,91,RINGWIDTH,1,CO-PIPO-L-5L_both.tif,11/7/2013 17:27,                   ,,2047 12878 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1674.0000 11571.0000 1791.0000 822.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,227.4774,,0.753,1.217,1.547,1.613,1.464,1.946,2.264,2.703,2.1,1.207,1.238,0.581,1.534,2.522,3.486,2.598,2.202,2.287,4.242,2.465,1.151,1.072,1.923,2.529,3.549,2.565,3.85,1.644,3.406,2.477,2.995,2.135,1.9,2.721,1.722,0.887,2.522,2.228,1.646,1.83,1.382,1.353,1.184,3.621,1.327,1.155,3.413,2.856,1.782,1.122,1.621,1.45,1.301,0.843,1.472,2.567,2.434,2.333,1.63,1.887,2.283,1.313,2.171,2.313,1.564,2.109,1.82,2.018,1.817,3.032,2.203,2.777,2.019,2.22,2.541,2.869,1.837,2.098,1.664,1.633,2.653,1.414,2.274,3.002,2.294,2.518,3.274,2.633,3.813,4.769,4.037,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,6H,A,6H-A,CO-PIPO-L-6H-A,,,2013,0,0,0,0,0,105,RINGWIDTH,1,CO-PIPO-L-6H_both.tif,11/7/2013 17:35,                   ,,2284 10456 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],414.0000 9963.0000 408.0000 369.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,203.0226,,0.283,0.313,0.729,0.769,0.503,0.781,0.782,0.444,0.973,0.55,0.549,0.285,0.666,0.485,1.456,1.303,2.01,0.719,1.754,1.501,1.67,2.089,1.629,2.708,2.349,1.419,0.282,1.918,1.52,1.31,2.663,1.684,1.073,1.554,1.944,1.501,0.486,1.268,1.685,0.779,1.953,1.137,1.404,0.92,1.66,1.593,1.946,1.861,1.606,1.225,1.008,1.268,0.99,0.889,0.141,1.239,1.468,1.053,0.927,0.823,1.268,2.326,0.867,0.952,1.501,1.332,1.66,0.903,1.685,1.597,1.786,2.391,3.512,2.116,2.561,3.174,2.539,1.756,1.925,1.1,1.396,2.644,1.377,2.043,2.433,2.749,3.192,3.403,1.896,2.773,3.265,3.314,3.53,3.995,3.614,2.896,2.878,4.379,4.072,5.244,4.465,5.026,4.638,3.197,5.611,,,,,,,,,,,
CO,PIPO,L,6H,B,6H-B,CO-PIPO-L-6H-B,,,2013,0,0,0,0,0,101,RINGWIDTH,1,CO-PIPO-L-6H_both.tif,11/7/2013 17:35,                   ,,2284 10456 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1808.0000 9406.0000 1950.0000 1094.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,175.9191,,0.232,0.162,0.653,0.479,0.34,0.526,0.462,0.313,0.643,0.337,0.431,0.049,0.303,0.38,0.755,0.771,1.15,0.351,1.162,0.952,1.058,1.48,0.999,1.917,1.873,1.625,0.689,0.148,0.399,0.568,1.777,1.183,1.16,1.223,1.59,1.238,0.228,0.932,1.137,0.534,1.513,0.978,0.837,0.803,1.39,1.401,1.6,1.645,1.475,1.329,0.885,0.905,0.983,1.13,0.165,1.177,2.149,0.892,1.057,0.733,1.02,1.721,0.654,1.011,1.475,1.217,1.887,1.213,1.967,1.873,1.805,2.119,2.779,1.744,1.805,2.354,2.104,1.555,1.778,1.265,1.845,2.73,1.556,3.506,2.943,2.754,3.484,3.656,1.561,2.859,3.359,3.218,4.359,4.015,4.462,3.219,2.629,4.547,3.4,5.618,11.195,,,,,,,,,,,,,,,
CO,PIPO,L,6L,A,6L-A,CO-PIPO-L-6L-A,,,2013,0,0,0,0,0,96,RINGWIDTH,1,CO-PIPO-L-6L_both.tif,11/7/2013 17:36,                   ,,2225 10515 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],322.0000 10486.0000 352.0000 469.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,211.9748,,0.543,0.896,1.575,1.197,1.092,0.821,1.055,0.825,1.121,0.697,0.763,1.206,1.053,1.537,2.1,2.502,1.053,2.215,1.074,1.37,2,1.577,2.184,1.869,2.268,2.751,2.452,1.637,0.8,3.323,2.079,1.913,1.955,2.1,1.432,0.42,1.89,2.442,1.753,2.031,1.151,1.626,0.792,2.632,2.532,2.918,2.644,1.988,1.269,1.036,1.12,1.116,1.326,0.685,2.076,3.36,1.857,1.739,1.294,2.161,2.928,1.467,1.623,1.668,1.322,1.88,2.085,2.049,2.449,2.719,2.78,3.429,2.809,2.768,3.491,3.14,2.499,2.913,1.983,2.474,2.673,2.626,3.16,3.736,3.43,4.211,3.863,2.74,3.081,3.638,3.305,4.371,3.7,4.163,3.836,4.91,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,6L,B,6L-B,CO-PIPO-L-6L-B,,,2013,0,0,0,0,0,93,RINGWIDTH,1,CO-PIPO-L-6L_both.tif,11/7/2013 17:36,                   ,,2225 10515 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1797.0000 10356.0000 1851.0000 3063.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,154.3344,,0.336,0.473,0.808,0.866,0.846,0.722,0.698,0.595,0.739,0.512,0.524,0.648,0.918,1.208,1.318,1.473,0.902,1.659,1.119,1.306,1.326,0.953,1.242,1.323,1.362,1.936,1.515,1.178,0.568,2.63,1.683,1.514,1.723,1.582,1.168,0.336,1.282,1.785,1.343,1.587,0.933,1.286,0.69,1.631,1.548,2.002,1.7,1.553,1,0.732,0.774,0.732,0.833,0.208,1.341,2.488,1.346,1.35,1.149,1.729,2.687,0.979,1.046,1.514,1.081,1.23,1.355,1.625,2.208,1.94,2.027,2.592,2.229,1.825,2.717,2.812,2.034,2.636,1.713,1.601,2.385,2.032,3.235,3.339,2.344,3.302,3.924,2.234,2.937,2.713,2.183,4.148,4.333,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,7H,A,7H-A,CO-PIPO-L-7H-A,,,2013,0,0,0,0,0,105,RINGWIDTH,1,CO-PIPO-L-7H-both.tif,11/7/2013 17:42,                   ,,2146 8743 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],240.0000 8277.0000 234.0000 537.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,163.7893,,0.083,0.206,0.484,0.752,0.784,0.438,0.546,0.356,0.881,0.232,0.399,0.083,0.504,0.436,1.184,0.956,1.055,0.443,1.379,0.788,0.824,1.005,0.593,0.754,0.792,0.777,0.859,1.227,0.63,0.701,1.463,0.891,0.625,1.033,0.752,0.634,0.091,0.837,1.15,0.558,0.859,0.511,0.404,0.341,0.939,0.888,1.11,0.181,0.683,0.921,0.444,0.345,0.447,0.386,0.264,0.711,1.431,0.957,0.703,1.113,1.049,1.696,0.581,0.724,1.131,0.942,1.615,1.319,1.37,1.55,1.79,2.307,2.505,1.703,1.392,2.484,2.879,2.015,2.351,1.4,2.272,2.821,1.472,2.78,2.336,2.681,3.657,4.22,1.538,1.807,3.243,2.6,3.884,3.494,3.818,2.842,2.434,3.845,2.794,4.271,2.878,3.4,4.83,3.783,4.719,,,,,,,,,,,
CO,PIPO,L,7H,B,7H-B,CO-PIPO-L-7H-B,,,2013,0,0,0,0,0,108,RINGWIDTH,1,CO-PIPO-L-7H-both.tif,11/7/2013 17:42,                   ,,2146 8743 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1701.0000 8385.0000 1677.0000 549.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,165.8216,,0.084,0.2,0.528,0.652,0.607,0.607,0.44,0.313,0.916,0.441,0.59,0.063,0.57,0.359,1.141,0.952,1.318,0.438,1.397,0.868,0.888,0.91,0.592,0.761,0.612,0.739,0.971,1.203,0.74,0.823,1.264,0.799,0.653,0.988,1.031,0.721,0.068,0.768,1.051,0.609,0.946,0.525,0.483,0.357,0.988,1.052,1.333,0.327,0.853,1.01,0.477,0.349,0.404,0.445,0.345,0.712,1.52,0.739,0.633,0.844,1.12,1.31,0.507,0.761,0.867,0.635,1.1,1.037,1.227,1.29,1.925,1.692,2.073,1.29,0.889,1.798,1.677,1.371,1.627,0.802,1.369,1.979,0.947,1.802,1.947,1.836,3.139,2.383,1.499,2.174,2.177,1.395,3.023,2.494,2.477,2.465,1.981,3.594,2.978,4.434,2.846,4.004,5.559,4.806,5.29,5.759,7.352,8.759,,,,,,,,
CO,PIPO,L,7L,A,7L-A,CO-PIPO-L-7L-A,,,2013,0,0,0,0,0,89,RINGWIDTH,1,CO-PIPO-L-7L-both.tif,11/7/2013 17:48,                   ,,2185 9058 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],345.0000 8622.0000 327.0000 60.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,181.1844,,0.275,0.275,0.995,0.718,0.803,1.057,0.762,0.698,1.312,0.613,0.612,0.137,0.771,1.119,2.807,2.438,2.991,1.478,2.955,1.502,1.754,2.121,1.281,1.575,1.6,2.137,3.153,3.398,2.621,0.91,2.285,2.285,1.862,1.672,2.663,1.987,0.824,2.281,2.455,2.116,2.453,1.417,1.82,1.121,2.427,2.26,2.05,0.518,2,2.666,1.354,1.163,0.994,0.92,0.582,1.883,2.2,1.375,1.163,1.354,1.748,2.801,1.058,1.756,2.793,1.756,2.158,1.544,2.56,2.455,3.087,2.581,3.851,1.86,2.769,2.938,4.263,2.443,2.211,1.221,2.261,3.156,1.726,2.844,3.904,2.607,3.906,3.597,2.355,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,7L,B,7L-B,CO-PIPO-L-7L-B,,,2013,0,0,0,0,0,79,RINGWIDTH,1,CO-PIPO-L-7L-both.tif,11/7/2013 17:48,                   ,,2185 9058 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1821.0000 8667.0000 1803.0000 870.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,164.9959,,0.44,0.586,1.036,1.074,1.112,1.343,1.164,0.608,1.201,0.715,0.551,0.107,0.831,0.944,1.793,1.921,1.745,0.863,2.055,1.151,1.634,2.451,1.379,1.926,2.368,1.812,2.91,3.214,2.173,1.197,3.426,2.708,2.174,2.132,2.813,2.314,0.79,2.645,2.388,1.742,2.303,1.461,1.463,1.395,2.149,2.387,1.47,2.245,2.266,1.688,0.968,1.523,1.773,0.654,0.26,2.501,1.93,1.418,1.291,1.072,1.775,3.058,1.093,2.157,2.006,1.624,1.616,1.736,2.306,2.698,2.451,3.337,3.586,2.582,2.74,4.337,4.278,2.258,1.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,8H,A,8H-A,CO-PIPO-L-8H-A,,,2013,0,0,0,0,0,94,RINGWIDTH,1,CO-PIPO-L-8H-A.tif,11/7/2013 17:49,                   ,,2185 9058 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],366.0000 8613.0000 366.0000 417.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,173.4389,,0.23,0.21,0.779,0.411,0.536,0.379,0.442,0.263,0.338,0.251,0.127,0.189,0.241,0.546,0.611,0.566,0.313,1.143,0.679,0.513,0.819,0.473,0.968,0.614,0.983,1.269,1.31,0.737,0.603,1.357,1.234,1.152,0.939,0.918,0.689,0.23,0.762,1.112,0.962,1.829,1.232,1.419,0.716,1.471,1.635,1.924,2.028,1.732,1.161,1.013,0.929,0.971,0.971,0.506,1.597,2.269,1.18,1.215,1.333,1.966,2.45,0.916,1.395,2.409,2.079,2.635,2.504,2.682,2.702,2.918,3.083,2.91,2.609,2.814,3.273,3.03,2.809,2.73,2.353,2.416,3.53,3.226,4.655,4.001,3.139,4.138,4.858,4.135,3.458,4.286,3.424,6.29,5.099,3.099,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,8H,B,8H-B,CO-PIPO-L-8H-B,,,2013,0,0,0,0,0,92,RINGWIDTH,1,CO-PIPO-L-8H-A.tif,11/7/2013 17:49,                   ,,2185 9058 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1788.0000 7431.0000 1788.0000 1284.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,130.0792,,0.122,0.163,0.702,0.427,0.561,0.358,0.371,0.261,0.35,0.268,0.206,0.29,0.246,0.473,0.573,0.686,0.276,1.084,0.705,0.776,0.94,0.661,0.763,0.535,0.88,0.865,0.804,0.529,0.466,0.973,0.644,0.471,0.609,0.731,0.587,0.124,0.798,0.76,0.535,1.07,0.721,1.123,0.79,1.123,1.194,1.317,1.378,1.384,0.723,0.482,0.788,0.786,1.135,0.358,1.095,1.66,0.712,0.535,0.498,1.221,2.237,1.078,0.935,1.445,1.416,2.325,1.268,1.833,1.435,1.711,1.945,2.343,2.149,1.823,2.453,2.631,2.254,2.427,1.562,2.47,3.311,2.266,3.059,3.094,3.201,3.095,3.468,2.475,2.481,3.275,2.201,3.635,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,8L,A,8L-A,CO-PIPO-L-8L-A,,,2013,0,0,0,0,0,75,RINGWIDTH,1,CO-PIPO-L-8L-both.tif,11/7/2013 18:19,                   ,,2756 10338 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],282.0000 8592.0000 426.0000 426.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,172.8308,,0.48,0.928,1.623,1.349,1.41,1.658,1.49,1.162,1.49,0.85,0.523,0.205,1.229,1.002,1.674,1.679,1.789,0.989,1.717,1.206,1.427,1.867,1.66,2.542,1.673,1.721,2.841,2.384,1.431,1.116,3.056,2.427,1.834,2.167,2.28,1.631,0.878,3.514,2.85,2.088,3.101,2.385,2.913,2.176,2.991,3.319,3.262,3.655,3.665,2.429,1.88,1.62,1.12,1.36,1.066,1.779,2.693,1.773,2.018,2.326,2.393,2.56,1.269,1.846,3.319,2.284,2.46,1.995,2.616,3.126,3.707,2.473,3.558,3.112,3.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,8L,B,8L-B,CO-PIPO-L-8L-B,,,2013,0,0,0,0,0,71,RINGWIDTH,1,CO-PIPO-L-8L-both.tif,11/7/2013 18:19,                   ,,2756 10338 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1704.0000 10122.0000 2016.0000 117.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,211.8222,,0.58,0.677,2.009,1.586,1.607,1.521,1.205,0.825,1.143,0.487,0.349,0.076,0.865,0.868,1.904,1.925,2.673,1.511,2.677,1.886,1.952,2.573,2.081,3.136,2.964,3.084,3.618,4.083,1.946,2.031,4.911,3.807,2.187,2.94,3.578,2.36,1.243,3.978,3.883,2.561,4.869,3.079,4.246,3.127,3.945,4.078,3.871,4.577,4.311,2.253,2.517,2.323,1.969,2.715,2.522,3.117,4.109,2.415,2.775,2.857,3.048,4.4,2.286,3.072,4.572,2.623,4.355,3.192,4.271,5.171,1.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,9H,A,9H-A,CO-PIPO-L-9H-A,,,2013,0,0,0,0,0,104,RINGWIDTH,1,CO-PIPO-L-9H-both.tif,11/7/2013 18:22,                   ,,2284 8506 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],213.0000 7875.0000 324.0000 786.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,150.0315,,0.344,0.464,0.818,0.915,0.862,0.72,0.743,0.471,0.722,0.487,0.504,0.038,0.671,0.652,1.053,1.133,1.244,0.806,1.646,1.19,1.279,1.43,0.997,1.306,1.142,1.33,1.354,1.416,0.759,0.724,1.354,0.979,0.793,0.983,1.265,0.708,0.356,1.049,1.305,0.949,1.572,1.176,1.206,0.865,1.371,1.729,1.603,1.331,1.396,1.016,0.867,0.93,0.844,0.696,0.337,1.184,1.755,0.994,1.141,0.803,1.502,1.777,0.908,1.246,1.925,1.481,1.84,1.565,1.733,1.605,1.834,1.621,2.082,1.774,1.69,1.52,1.472,1.03,1.051,0.687,1.311,1.465,0.93,1.486,1.545,1.598,1.692,1.693,1.46,1.501,1.724,1.483,2.631,2.235,2.285,2.411,2.222,3.441,2.897,3.89,2.918,3.029,2.836,2.664,,,,,,,,,,,,
CO,PIPO,L,9H,B,9H-B,CO-PIPO-L-9H-B,,,2013,0,0,0,0,0,103,RINGWIDTH,1,CO-PIPO-L-9H-both.tif,11/7/2013 18:22,                   ,,2284 8506 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1815.0000 6774.0000 1761.0000 339.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,136.1784,,0.247,0.36,0.614,0.548,0.676,0.444,0.697,0.401,0.506,0.508,0.532,0.049,0.498,0.613,0.988,0.841,0.925,0.585,1.504,0.94,0.752,1.044,0.898,1.051,0.886,0.973,1.058,0.952,0.656,0.55,1.227,0.931,0.906,0.734,0.901,0.691,0.314,0.818,0.991,0.611,1.33,0.845,1.077,0.76,1.33,1.363,1.263,1.393,1.413,1.201,0.802,0.698,0.736,0.978,0.35,0.979,1.717,0.898,1.135,1.069,1.044,1.566,0.793,1.148,1.441,1.413,1.547,1.236,1.463,1.373,1.664,1.724,1.907,1.605,1.621,1.747,1.588,0.9,1.006,1.107,1.727,1.512,1.136,1.753,1.569,1.426,1.789,2.059,1.708,1.793,1.768,1.456,2.423,2.132,2.192,2.089,2.093,2.887,2.332,3.09,2.673,3.252,1.667,,,,,,,,,,,,,
